1.17482	-1.01359	
1.37886	-2.55116	
0.460687	-2.23053	
1	-2	
0.504409	-1.57469	
0.970783	-1.22491	
0.416964	-0.802263	
1.37886	-0.802263	
1.0728	-0.160999	
0.431538	-0.000682905	
1.10345	0.0631385	
1.24483	0.220586	
2.13518	0.547177	
1.11653	0.831	
1.88192	1.48566	
2.89761	1.64688	
1.54336	1.663	
0.850108	1.74361	
0.430934	1.84035	
0.898475	2.13054	
1.46275	2.14667	
0.70501	2.30789	
3.05883	2.37238	
2.54293	2.66257	
0.612157	2.43981	
2.55399	2.93512	
2	3	
2.37951	3.149	
1.90671	3.73436	
2.06431	3.78502	
2.22191	3.88633	
3.34761	3.98202	
3.67407	4.01016	
3.91046	3.92573	
0.932982	4.44356	
3.57275	4.2353	
2.71159	4.74187	
2.92547	4.88258	
3.08307	4.97827	
3.07744	6.1884	
4.00052	5.43417	
0	1.9369	
0	1.36725	
0	0	
0	-0.809347	
0	-1.5	
0	-2	
0	-2.38072	
0	-3.68879	
-1.17482	-1.01359	
-1.37886	-2.55116	
-0.460687	-2.23053	
-1	-2	
-0.504409	-1.57469	
-0.970783	-1.22491	
-0.416964	-0.802263	
-1.37886	-0.802263	
-1.0728	-0.160999	
-0.431538	-0.000682905	
-1.10345	0.0631385	
-1.24483	0.220586	
-2.13518	0.547177	
-1.11653	0.831	
-1.88192	1.48566	
-2.89761	1.64688	
-1.54336	1.663	
-0.850108	1.74361	
-0.430934	1.84035	
-0.898475	2.13054	
-1.46275	2.14667	
-0.70501	2.30789	
-3.05883	2.37238	
-2.54293	2.66257	
-0.612157	2.43981	
-2.55399	2.93512	
-2	3	
-2.37951	3.149	
-1.90671	3.73436	
-2.06431	3.78502	
-2.22191	3.88633	
-3.34761	3.98202	
-3.67407	4.01016	
-3.91046	3.92573	
-0.932982	4.44356	
-3.57275	4.2353	
-2.71159	4.74187	
-2.92547	4.88258	
-3.08307	4.97827	
-3.07744	6.1884	
-4.00052	5.43417	
